	investigation type	project name	geographic location (longitude)	geographic location (country and/or sea,region)	collection date	environment (biome)	environment (feature)	environment (material)	environmental package	sequencing method	geographic location (latitude)	ENA checklist	sample-desc	sample-name
ERR2540296	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-06-30	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 2 vessel 2 (aerobic, control) day 1	2.2.3
ERR2540297	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-06-30	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 2 vessel 3 (anaerobic, control) day 1	2.3.3
ERR2540299	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-07-01	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 2 vessel 2 (aerobic, antibiotic) day 2	2.1.4
ERR2540307	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-07-05	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 3 vessel 4 (anaerobic, antibiotic) day -2	3.4.0
ERR2540313	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-07-07	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 3 vessel 2 (aerobic, antibiotic) day 0	3.2.2
ERR2540314	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-07-07	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 3 vessel 3 (anaerobic, control) day 0	3.3.2
ERR2539468	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 14 (abx=n cohoused=y with mouse 10) baseline	14
ERR2539907	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-07	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 458 (abx=y cohouse=n) day 8	945458.D8
ERR2539514	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 7 (abx=y cohoused=y with mouse 17) hour 12	7.012
ERR2539518	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 11 (abx=y cohoused=y with mouse 9) hour 12	11.012
ERR2539519	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 12 (abx=n cohoused=n) hour 12	12.012
ERR2539525	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 18 (abx=n cohoused=y with mouse 4) hour 12	18.012
ERR2539527	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 2 (abx=y cohoused=n) hour 16	2.016
ERR2539644	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-05	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 15 (abx=n cohoused=n) hour 63	15.063
ERR2539654	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-05	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 7 (abx=y cohoused=y with mouse 17) hour 73	7.073
ERR2539530	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 5 (abx=n(abx=y cohoused=y with mouse 13) hour 16	5.016
ERR2539532	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 7 (abx=y cohoused=y with mouse 17) hour 16	7.016
ERR2539533	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 8 (abx=n cohoused=n) hour 16	8.016
ERR2539535	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 10 (abx=y cohoused=y with mouse 14) hour 16	10.016
ERR2539537	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 12 (abx=n cohoused=n) hour 16	12.016
ERR2539540	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 15 (abx=n cohoused=n) hour 16	15.016
ERR2539483	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 11 (abx=y cohoused=y with mouse 9) hour 4	11.004
ERR2539485	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 13 (abx=y cohoused=y with mouse 5) hour 4	13.004
ERR2539486	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 14 (abx=n cohoused=y with mouse 10) hour 4	14.004
ERR2539490	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 18 (abx=n cohoused=y with mouse 4) hour 4	18.004
ERR2539493	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 3 (abx=y cohoused=n) hour 8	3.008
ERR2539495	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 5 (abx=n(abx=y cohoused=y with mouse 13) hour 8	5.008
ERR2539497	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 7 (abx=y cohoused=y with mouse 17) hour 8	7.008
ERR2539498	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 9 (abx=n cohoused=y with mouse 11) hour 8	9.008
ERR2539499	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 10 (abx=y cohoused=y with mouse 14) hour 8	10.008
ERR2539624	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-04	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 13 (abx=y cohoused=y with mouse 5) hour 49	13.049
ERR2539631	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-05	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 2 (abx=y cohoused=n) hour 63	2.063
ERR2539635	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-05	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 6 (abx=y cohoused=n) hour 63	6.063
ERR2539636	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-05	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 7 (abx=y cohoused=y with mouse 17) hour 63	7.063
ERR2539646	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-05	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 17 (abx=n cohoused=y with mouse 7) hour 63	17.063
ERR2539792	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-12	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 14 (abx=n cohoused=y with mouse 10) hour 240	14.24
ERR2539542	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 17 (abx=n cohoused=y with mouse 7) hour 16	17.016
ERR2539550	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 9 (abx=n cohoused=y with mouse 11) hour 20	9.02
ERR2539569	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 10 (abx=y cohoused=y with mouse 14) hour 23	10.023
ERR2539570	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 11 (abx=y cohoused=y with mouse 9) hour 23	11.023
ERR2539571	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 12 (abx=n cohoused=n) hour 23	12.023
ERR2539605	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-04	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 11 (abx=y cohoused=y with mouse 9) hour 39	11.039
ERR2539800	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-15	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 5 (abx=n(abx=y cohoused=y with mouse 13) hour 312	5.312
ERR2539508	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 1 (abx=y cohouse=n) hour 12	1.012
ERR2539612	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-04	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 1 (abx=y cohouse=n) hour 49	1.049
ERR2539758	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-11	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 14 (abx=n cohoused=y with mouse 10) hour 192	14.216
ERR2539509	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 2 (abx=y cohoused=n) hour 12	2.012
ERR2539510	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 3 (abx=y cohoused=n) hour 12	3.012
ERR2539578	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 1 (abx=y cohouse=n) hour 25	1.025
ERR2539579	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 2 (abx=y cohoused=n) hour 25	2.025
ERR2539580	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 3 (abx=y cohoused=n) hour 25	3.025
ERR2539581	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 4 (abx=y cohoused=y with mouse 18) hour 25	4.025
ERR2539582	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 5 (abx=n(abx=y cohoused=y with mouse 13) hour 25	5.025
ERR2539583	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 6 (abx=y cohoused=n) hour 25	6.025
ERR2539759	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-11	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 15 (abx=n cohoused=n) hour 192	15.216
ERR2539809	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-15	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 14 (abx=n cohoused=y with mouse 10) hour 312	14.312
ERR2539813	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-15	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 18 (abx=n cohoused=y with mouse 4) hour 312	18.312
ERR2539833	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-04	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 452 (abx=y cohouse=n) day 5	945452.D5
ERR2539627	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-04	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 16 (abx=n cohoused=n) hour 49	16.049
ERR2539593	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 17 (abx=n cohoused=y with mouse 7) hour 25	17.025
ERR2539594	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 18 (abx=n cohoused=y with mouse 4) hour 25	18.025
ERR2539595	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-04	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 1 (abx=y cohouse=n) hour 39	1.039
ERR2539596	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-04	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 2 (abx=y cohoused=n) hour 39	2.039
ERR2539597	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-04	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 3 (abx=y cohoused=n) hour 39	3.039
ERR2539825	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-08	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 451 (abx=n cohouse=n) day 9	945451.D9
ERR2539828	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-08-30	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 452 (abx=y cohouse=n) day 0	945452.D0
ERR2539531	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 6 (abx=y cohoused=n) hour 16	6.016
ERR2539604	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-04	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 10 (abx=y cohoused=y with mouse 14) hour 39	10.039
ERR2539663	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-05	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 18 (abx=n cohoused=y with mouse 4) hour 73	18.073
ERR2539789	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-12	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 11 (abx=y cohoused=y with mouse 9) hour 240	11.24
ERR2539843	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 453 (abx=n cohouse=n) day 3	945453.D3
ERR2539846	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-06	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 453 (abx=n cohouse=n) day 6	945453.D7
ERR2539905	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-05	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 458 (abx=y cohouse=n) day 6	945458.D6
ERR2539607	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-04	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 14 (abx=n cohoused=y with mouse 10) hour 39	14.039
ERR2539608	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-04	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 15 (abx=n cohoused=n) hour 39	15.039
ERR2539670	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-06	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 8 (abx=n cohoused=n) hour 87	8.087
ERR2539671	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-06	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 9 (abx=n cohoused=y with mouse 11) hour 87	9.087
ERR2539916	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-04	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 459 (abx=n cohouse=n) day 5	945459.D5
ERR2539919	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-07	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 459 (abx=n cohouse=n) day 8	945459.D8
ERR2539680	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-06	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 5 (abx=n(abx=y cohoused=y with mouse 13) hour 97	5.097
ERR2539715	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-09	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 5 (abx=n(abx=y cohoused=y with mouse 13) hour 144	5.168
ERR2539716	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-09	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 6 (abx=y cohoused=n) hour 144	6.168
ERR2539511	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 4 (abx=y cohoused=y with mouse 18) hour 12	4.012
ERR2539512	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 5 (abx=n(abx=y cohoused=y with mouse 13) hour 12	5.012
ERR2539524	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 17 (abx=n cohoused=y with mouse 7) hour 12	17.012
ERR2539693	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-06	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 18 (abx=n cohoused=y with mouse 4) hour 97	18.097
ERR2539810	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-15	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 15 (abx=n cohoused=n) hour 312	15.312
ERR2539817	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-08-31	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 451 (abx=n cohouse=n) day 1	945451.D1
ERR2539882	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-06	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 456 (abx=n cohouse=n) day 7	945456.D7
ERR2539886	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-10	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 456 (abx=n cohouse=n) day 11	945456.D11
ERR2539887	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-08-30	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 457 (abx=y cohouse=n) day 0	945457.D0
ERR2539523	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 16 (abx=n cohoused=n) hour 12	16.012
ERR2539567	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 8 (abx=n cohoused=n) hour 23	8.023
ERR2539818	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-01	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 451 (abx=n cohouse=n) day 2	945451.D2
ERR2539822	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-05	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 451 (abx=n cohouse=n) day 6	945451.D6
ERR2539893	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-05	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 457 (abx=y cohouse=n) day 6	945457.D6
ERR2539500	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 11 (abx=y cohoused=y with mouse 9) hour 8	11.008
ERR2539536	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 11 (abx=y cohoused=y with mouse 9) hour 16	11.016
ERR2539543	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 18 (abx=n cohoused=y with mouse 4) hour 16	18.016
ERR2539585	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 8 (abx=n cohoused=n) hour 25	8.025
ERR2539826	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-09	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 451 (abx=n cohouse=n) day 10	945451.D10
ERR2539827	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-10	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 451 (abx=n cohouse=n) day 11	945451.D11
ERR2539829	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-08-31	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 452 (abx=y cohouse=n) day 1	945452.D1
ERR2539832	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 452 (abx=y cohouse=n) day 4	945452.D4
ERR2539903	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 458 (abx=y cohouse=n) day 4	945458.D4
ERR2539904	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-04	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 458 (abx=y cohouse=n) day 5	945458.D5
ERR2539908	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-08	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 458 (abx=y cohouse=n) day 9	945458.D9
ERR2539911	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-08-30	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 459 (abx=n cohouse=n) day 0	945459.D0
ERR2539467	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 13 (abx=y cohoused=y with mouse 5) baseline	13
ERR2539590	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 13 (abx=y cohoused=y with mouse 5) hour 25	13.025
ERR2539913	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-01	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 459 (abx=n cohouse=n) day 2	945459.D2
ERR2539915	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 459 (abx=n cohouse=n) day 4	945459.D4
ERR2539918	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-06	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 459 (abx=n cohouse=n) day 7	945459.D7
ERR2539920	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-08	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 459 (abx=n cohouse=n) day 9	945459.D9
